Old_ID,Company,Company_real,New_ID
,,,
1,1und1,United Internet,141
,,,
2,3Com,3Com,1
,,,
3,Abocom,AboCom Systems,2
,,,
4,Acer,Acer,3
,,,
5,Ainol,"Shenzhen Ainol Electronics Co., Ltd",116
,,,
6,Airis,Airis,4
,,,
7,Airo,"AIRO WIRELESS, LLC",5
,,,
8,Alcatel,Alcatel-Lucent,6
,,,
9,Altina,Union Rich Development Corp,139
,,,
10,Amazon,Amazon,7
,,,
11,Amoi,"Amoi Technology Co., Ltd",8
,,,
12,AnexTEK,Wistron Corporation,148
,,,
13,AnyDATA,Anydata Corporation,9
,,,
14,Apple,Apple Inc,10
,,,
15,Archos,Archos,11
,,,
16,Argox,Argox,12
,,,
17,Arima,Arima Communications,13
,,,
18,Asus,Asus,14
,,,
19,AT_T,AT&T,15
,,,
20,Athesi,Mobile Compia,85
,,,
21,Audiovox,HTC,61
,,,
22,Axia,Axia,16
,,,
23,Babiken,Babiken,17
,,,
24,Bell,HTC,61
,,,
25,BenQ,BenQ,20
,,,
26,BenQ-Siemens,BenQ,20
,,,
27,Blaupunkt,Blaupunkt,22
,,,
28,Blu,Into Blu,69
,,,
29,Bluebird,Bluebird Soft Inc,23
,,,
30,BN,Barnes & Noble,18
,,,
31,Bsquare,Bsquare Corporation,24
,,,
32,Camangi,Camangi,25
,,,
33,Casio,Casio,26
,,,
34,Cincinnati,Cincinnati Bell,28
,,,
35,Cingular,HTC,61
,,,
36,CipherLab,CipherLab,29
,,,
37,Clearview,Clearview Technology,30
,,,
38,Commtiva,Commtiva,31
,,,
39,Compaq,Compaq,32
,,,
40,Coolpad,Coolpad Group Limited,33
,,,
41,Cowon,"Cowon Systems, Inc",34
,,,
42,Coxion,Coxion,35
,,,
43,Creative,Creative Technology Ltd,36
,,,
44,CyberBank,HTC,61
,,,
45,DAP,Roper Technologies,110
,,,
46,Data,Data Evolution Corp,37
,,,
47,Datalogic,Roper Technologies,110
,,,
48,DataWind,DataWind,38
,,,
49,Daxian,HTC,61
,,,
50,Dell,Dell,39
,,,
51,Detailed,Bluebird Soft Inc,23
,,,
52,Diamond,Psion,106
,,,
53,Dopod,HTC,61
,,,
54,DreimGO,DreimGO,41
,,,
55,E-TEN,"E-TEN Information Systems Co., Ltd",43
,,,
56,Eken,EKEN Electronic,44
,,,
57,Emobile,Huawei,62
,,,
58,enTourage,enTourage,45
,,,
59,Ericsson,Ericsson,46
,,,
60,FirstOne,FirstOne Technology,47
,,,
61,Fly,TechFaith Wirelessæ,131
,,,
62,Fourier,Fourier Systems,48
,,,
63,Fujitsu,Fujitsu Ltd,50
,,,
64,Fujitsu-Siemens,Fujitsu Ltd,50
,,,
65,Garmin,Garmin Ltd,51
,,,
66,Garmin-Asus,Garmin Ltd,51
,,,
67,Geeksphone,Foxconn Technology Group,49
,,,
68,General,TechFaith Wirelessæ,131
,,,
69,Geofox,Geofox Mobile,52
,,,
70,Getac,MiTAC International Corp,84
,,,
71,Gigabyte,Gigabyte Technology,53
,,,
72,Google,Google,54
,,,
73,Grundig,HTC,61
,,,
74,HandEra,HandEra,55
,,,
75,Handspring,Handspring Inc,56
,,,
76,Hannspree,HannStar Display Corporation,57
,,,
77,Hewlett-Packard,Hewlett-Packard,58
,,,
78,Highscreen,Foxconn Technology Group,49
,,,
79,Hitachi,"Hitachi, Ltd",59
,,,
80,HKC,TechFaith Wirelessæ,131
,,,
81,HOTT,Hongfutai E-Tech (Shenzhen) Co. Ltd,60
,,,
82,HP,Hewlett-Packard,58
,,,
83,HTC,HTC,61
,,,
84,Huawei,Huawei,62
,,,
85,Hyundai,Wistron Corporation,148
,,,
86,I-Mate,I-Mate,64
,,,
87,i-teq,Lenovo,76
,,,
88,IBM,IBM,65
,,,
89,ICD,Inventec Corporation,71
,,,
90,iconX,iconX,66
,,,
91,iDO,"Kinpo Electronics, Inc",73
,,,
92,INQ,Inq Mobile,67
,,,
93,Intermec,Intermec,68
,,,
94,Interpad,E-noa,42
,,,
95,Inventec,Inventec Corporation,71
,,,
96,JoinTech,Join Technology,72
,,,
97,KDDI,Kyocera Corporation,74
,,,
98,Kogan,BenQ,20
,,,
99,Krome,HTC,61
,,,
100,Kyocera,Kyocera Corporation,74
,,,
101,Lava,LavaæInternational Ltd,75
,,,
102,Lenovo,Lenovo,76
,,,
103,LG,LG Electronics,77
,,,
104,Lobster,HTC,61
,,,
105,M3Mobile,Mobile Compia,85
,,,
106,MAG,MAG Digital,78
,,,
107,Medion,MiTAC International Corp,84
,,,
108,Meizu,"Meizu Technology Co., Ltd",80
,,,
109,MENQ,MENQ International Limited,81
,,,
110,Micromax,Micromax Informatics,82
,,,
111,Microsoft,Microsoft,83
,,,
112,Mio,MiTAC International Corp,84
,,,
113,MiTAC,MiTAC International Corp,84
,,,
114,Mobile,HTC,61
,,,
115,Mobinnova,Foxconn Technology Group,49
,,,
116,Motorola,Motorola,87
,,,
117,MWg,"E-TEN Information Systems Co., Ltd",43
,,,
118,Navigon,Navigon GmbH,88
,,,
119,Navon,Navon MIZU,89
,,,
120,NDrive,NDrive,90
,,,
121,NEC,NEC Corporationæ,91
,,,
122,Nokia,Nokia Corporation,92
,,,
123,Notion,Notion Ink,93
,,,
124,NTT,"NTT DOCOMO, Inc",94
,,,
125,O2,O2,95
,,,
126,Okwap,Inventec Corporation,71
,,,
127,Olivetti,Telecom Italia,132
,,,
128,Olympus,Olympus Corporation,96
,,,
129,Onkyo,Onkyo Corporation,97
,,,
130,Opticon,Opticon Inc,98
,,,
131,Optima,Optima Technology ,99
,,,
132,Optimus,Commtiva,31
,,,
133,Orange,Orange UK,100
,,,
134,Oregon,Oregon Scientific,101
,,,
135,ORSiO,TechFaith Wirelessæ,131
,,,
136,Palm,Palm,102
,,,
137,PalmOne,Palm,102
,,,
138,Panasonic,Panasonic,103
,,,
