,Model,Company_ID,Company Name
1,Casio Cassiopeia E-3000,26.0,Casio
3,Coxion WebBook Mobile Computer,35.0,Coxion
5,CyberBank POZ 0850,61.0,HTC
7,Medion MDPPC 100 (MD7200),84.0,MiTAC International Corp
9,MiTAC Mio 728 PDA Phone,84.0,MiTAC International Corp
11,Samsung NEXiO S160 / NEXiO S165,113.0,Samsung
13,Sony Clie PEG-NZ90 / PEG-NZ90U,123.0,Sony Corporation
15,Symbol PPT 8800,152.0,Zebra Technologies
17,Yakumo PDA Delta 200,84.0,MiTAC International Corp
19,Kyocera 7135,74.0,Kyocera Corporation
21,Motorola A760,87.0,Motorola
25,E-TEN InfoTouch P600,43.0,"E-TEN Information Systems Co., Ltd"
27,Nokia 3600,92.0,Nokia Corporation
29,Samsung SPH-i330,113.0,Samsung
31,Samsung SPH-i700,113.0,Samsung
33,Sony Clie PEG-SJ22 / PEG-SJ22U / PEG-SJ2E,123.0,Sony Corporation
35,Sony Clie PEG-TG50 / PEG-TG50U,123.0,Sony Corporation
37,Toshiba e750 / e755,136.0,Toshiba Corporation
39,Toshiba Genio e350,136.0,Toshiba Corporation
41,Acer n20,3.0,Acer
43,Acer n20w,3.0,Acer
45,Casio Cassiopeia IT-500 M30,26.0,Casio
47,Casio Cassiopeia IT-500 M30B,26.0,Casio
49,Casio Cassiopeia IT-500 M30CB,26.0,Casio
51,Casio Cassiopeia IT-500 M30CR,26.0,Casio
53,Casio Cassiopeia IT-500 M30R,26.0,Casio
55,Orange SPV E100 (HTC Tanager),100.0,Orange UK
57,Palm Tungsten C,102.0,Palm
59,I-Mate Smartphone (HTC Tanager),64.0,I-Mate
61,MiTAC Mio 339 Digi-Walker,84.0,MiTAC International Corp
63,MiTAC Mio 8380 Digi-Walker,84.0,MiTAC International Corp
65,NEC MobilePro 900,91.0,NEC Corporationæ
67,Panasonic Toughbook CF-P1,103.0,Panasonic
69,Asus MyPal A620,14.0,Asus
71,CyberBank POZ 0870,61.0,HTC
73,E-TEN InfoTouch P603,43.0,"E-TEN Information Systems Co., Ltd"
75,Hewlett-Packard iPAQ H1940 / H1945 (HTC Kiwi),58.0,Hewlett-Packard
77,Hewlett-Packard iPAQ H2210 / H2212 / H2212e / H2215 (HTC Great Wall),58.0,Hewlett-Packard
79,MiTAC Mio 338 Plus Digi-Walker,84.0,MiTAC International Corp
81,MiTAC Mio 558 Digi-Walker,84.0,MiTAC International Corp
83,NTT DoCoMo Sigmarion III.,94.0,"NTT DOCOMO, Inc"
85,Qtek 7070 (HTC Tanager),61.0,HTC
87,Sony Clie PEG-NX73V,123.0,Sony Corporation
89,Sony Clie PEG-NX80V,123.0,Sony Corporation
91,Symbol PPT 8800w,152.0,Zebra Technologies
93,ViewSonic Pocket PC V36,145.0,ViewSonic
95,Hewlett-Packard iPAQ H5150 / H5155,58.0,Hewlett-Packard
97,Hewlett-Packard iPAQ H5550 / H5555,58.0,Hewlett-Packard
99,Hitachi SH-G1000,59.0,"Hitachi, Ltd"
101,Palm Tungsten T2,102.0,Palm
103,CyberBank Triton  0885 / 1880,61.0,HTC
105,CyberBank Triton 0880,61.0,HTC
107,Samsung SCH-M400,113.0,Samsung
109,T-Mobile MDA II (HTC Himalaya),128.0,T-Mobile
111,Dell Axim X3 Advanced,39.0,Dell
113,Dell Axim X3 Basic,39.0,Dell
115,Dell Axim X3i,39.0,Dell
117,E-TEN InfoTouch P300,43.0,"E-TEN Information Systems Co., Ltd"
119,Handspring Treo 600 CDMA,56.0,Handspring Inc
121,Handspring Treo 600 GSM,56.0,Handspring Inc
123,Hewlett-Packard iPAQ H1930 / H1935 (HTC Kiwi),58.0,Hewlett-Packard
125,Hewlett-Packard iPAQ H1937 (HTC Kiwi),58.0,Hewlett-Packard
127,I-Mate Pocket PC Phone Edition (HTC Himalaya),64.0,I-Mate
129,O2 XDA II (HTC Himalaya),95.0,O2
131,Sony Clie PEG-NX73VE,123.0,Sony Corporation
133,Sony Clie PEG-UX40 / PEG-UX40U / PEG-UX40E,123.0,Sony Corporation
135,Sony Clie PEG-UX50 / PEG-UX50U / PEG-UX50E,123.0,Sony Corporation
137,Asus MyPal A620BT,14.0,Asus
139,CyberBank Triton 1880 KW,61.0,HTC
141,Fujitsu-Siemens Pocket LOOX 610BT/WLAN,50.0,Fujitsu Ltd
143,Hewlett-Packard iPAQ H4150 / H4155,58.0,Hewlett-Packard
145,Hewlett-Packard iPAQ H4350 / H4355 (HTC Dextrous),58.0,Hewlett-Packard
147,Nokia 6600 (Nokia Calimero),92.0,Nokia Corporation
149,Nokia N-Gage (Nokia Starship),92.0,Nokia Corporation
